,user,meanOfStars
0,torvalds,8680.0
1,julycoding,1641.3333333333333
2,vhf,1097.5714285714287
3,mrdoob,1014.45
4,mbostock,817.3636363636364
5,visionmedia,699.5555555555555
6,SamyPesse,519.3333333333334
7,necolas,492.90909090909093
8,photonstorm,429.4117647058824
9,JakeWharton,403.61290322580646
10,csswizardry,397.5769230769231
11,mdo,396.4230769230769
12,fabpot,390.05882352941177
13,antirez,387.90697674418607
14,tpope,365.8205128205128
15,mattt,335.3181818181818
16,steipete,308.8
17,bbatsov,268.13432835820896
18,yinwang0,262.8
19,kripken,236.91666666666666
20,mitchellh,221.95945945945945
21,samuelclay,199.5
22,mitsuhiko,198.94214876033058
23,marijnh,183.8846153846154
24,coolwanglu,177.35294117647058
25,Shougo,169.575
26,sebastianbergmann,165.08695652173913
27,josevalim,158.85714285714286
28,hueniverse,150.36363636363637
29,jgm,149.70833333333334
30,probablycorey,143.0
31,DataTables,141.77272727272728
32,Cocoanetics,139.46875
33,Unknwon,130.03846153846155
34,apotonick,129.77551020408163
35,rstacruz,123.69871794871794
36,codegangsta,118.97435897435898
37,ai,113.28125
38,remy,111.30088495575221
39,kraih,110.28571428571429
40,sahat,107.61946902654867
41,mxcl,107.17857142857143
42,addyosmani,106.69333333333333
43,jspahrsummers,97.80555555555556
44,kangax,94.73684210526316
45,zenorocha,94.70238095238095
46,mourner,93.47368421052632
47,karan,93.1046511627907
48,yyx990803,81.6
49,sferik,80.16428571428571
50,mathiasbynens,79.16915422885572
51,mythz,76.58333333333333
52,gitster,73.4
53,swannodette,69.72164948453609
54,fogus,67.58823529411765
55,josh,66.05454545454545
56,armon,63.53125
57,bradfitz,63.07142857142857
58,ebidel,61.6578947368421
59,leafo,61.043010752688176
60,eduardolundgren,59.95454545454545
61,michael,59.51020408163265
62,fool2fish,58.55555555555556
63,substack,57.8202416918429
64,creationix,56.369127516778526
65,weavejester,56.16346153846154
66,paulmillr,54.11940298507463
67,klen,53.43859649122807
