,version,modelYear,km,price,phoneNumber,pro,argus,cheaperThanArgus,latitude,longitude
0,1.2 TCE 120 ZEN EDC,2013.0,16000,11990,,1,16000,1,48.7092979,2.38479
1,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,17516,14800,0825809109,1,16100,1,48.8784616,2.7657959
2,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,18021,14800,0825809109,1,16100,1,49.00363,2.516978
3,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,21754,14500,0825809109,1,16100,1,48.8785618,2.3603689
4,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,15269,14800,0825809109,1,16100,1,48.8293647,2.4265406
5,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,14697,14800,0652513785,1,16100,1,48.7468342,2.4054748
6,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,28670,14200,0825809109,1,16100,1,48.8293647,2.4265406
7,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,17370,14800,0825809109,1,16100,1,48.8784616,2.7657959
8,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,20026,14500,0781679569,1,16100,1,48.817275,2.2977599
9,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,26412,13600,0825809109,1,16100,1,48.892423,2.215331
10,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,15069,14800,0825809109,1,16100,1,48.7766463,2.0306592
11,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19247,14800,0825809109,1,16100,1,49.00363,2.516978
12,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,11688,14700,0652513785,1,16100,1,48.7468342,2.4054748
13,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,20800,14500,0825809109,1,16100,1,49.0331671,2.0547222
14,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,28282,14200,0825809109,1,16100,1,49.00363,2.516978
15,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,12561,14000,0626671997,1,16100,1,48.7766463,2.0306592
16,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19211,14800,0825809109,1,16100,1,48.941345,2.46436
17,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,29060,14400,0155811021,1,16100,1,48.941345,2.46436
18,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,15892,14800,0825809109,1,16100,1,49.0331671,2.0547222
19,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,23398,13900,0825809109,1,16100,1,48.7468342,2.4054748
20,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,14571,14800,0825809109,1,16100,1,48.8785618,2.3603689
21,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,15607,14800,0825809109,1,16100,1,48.7766463,2.0306592
22,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19172,14800,0652513785,1,16100,1,48.7468342,2.4054748
23,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16521,14800,0825809109,1,16100,1,49.00363,2.516978
24,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,24018,14500,0825809109,1,16100,1,48.904526,2.304768
25,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,23289,13900,0825809109,1,16100,1,48.9220615,2.2533313
26,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,14000,14800,0825809109,1,16100,1,48.8718722,2.3176432
27,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,29246,14200,0825809109,1,16100,1,48.7766463,2.0306592
28,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,20966,14500,0825809109,1,16100,1,48.904526,2.304768
29,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16351,14800,0652513785,1,16100,1,48.7468342,2.4054748
30,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,13461,14800,0652513785,1,16100,1,48.7468342,2.4054748
31,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,18108,14800,0825809109,1,16100,1,48.7766463,2.0306592
32,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16596,15000,0155811021,1,16100,1,48.941345,2.46436
33,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,29000,13600,0825809109,1,16100,1,48.908612,2.439712
34,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,12409,14800,0825809109,1,16100,1,49.0331671,2.0547222
35,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19707,14800,0825809109,1,16100,1,48.813055,2.38822
36,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,12870,14800,0652513785,1,16100,1,48.7468342,2.4054748
37,1.5 DCI 90 INTENS EDC,2014.0,10,20220,0175834788,1,17500,0,48.760344,2.387405
38,1.5 DCI 90 ZEN EDC,2014.0,10,19500,0175834788,1,16200,0,48.760344,2.387405
39,1.5 DCI 90 INTENS EDC,2014.0,8900,17990,,0,17500,0,48.7025751,2.0696133
40,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,18990,0974915000,1,17700,0,48.749736,2.459965
41,1.5 DCI 90 ZEN EDC,,1,19990,0476523234,1,16200,0,48.8675641,2.34399
42,1.2 TCE 120 INTENS EDC,2014.0,10,17160,0175834788,1,17800,1,48.760344,2.387405
43,0.9 TCE 90 ENERGY S&S ZEN ECO2,2013.0,16500,14000,,0,14200,1,48.893217,2.287864
44,1.2 TCE 120 INTENS EDC,2013.0,20992,16590,0811708090,1,17800,1,48.792001,2.39851
45,1.5 DCI 90 INTENS EDC,2014.0,5000,18900,,0,17500,0,48.989323,1.714958
46,1.2 TCE 120 INTENS EDC,2014.0,10,20500,0164597186,1,17800,0,48.529171,2.0152549
47,1.5 DCI 90 INTENS EDC,2014.0,4058,18990,0164597186,1,17500,0,48.529171,2.0152549
48,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,1800,20300,,0,17700,0,48.762895,2.075323
49,1.5 DCI 90 INTENS EDC,2014.0,10,18490,0130516539,1,17500,0,48.7623589,1.945326
50,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,10,17490,0130516539,1,15500,0,48.7623589,1.945326
51,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,7933,18490,0811708090,1,17700,0,48.792001,2.39851
52,1.5 DCI 90 ENERGY ARIZONA ECO2,2014.0,5950,17900,,0,17100,0,48.73668,2.180034
