,prix,annee,ville,km,tel,pro_part,argus,pos_argus,lat,long
727655333,19 840,2014,Isles-lès-Villenoy,0,0,c,,?,48.911358,2.8281139
716161502,15 200,2013,Massy,14 697,0,c,,?,48.730756,2.27137
715687557,14 500,2013,Massy,13 799,0,c,,?,48.730756,2.27137
727655235,19 640,2014,Isles-lès-Villenoy,0,0,c,,?,48.911358,2.8281139
727626290,20 602,2014,Thiais,0,0,c,,?,48.760344,2.387405
727623829,17 560,2014,Thiais,0,0,c,,?,48.760344,2.387405
723253543,11 990,2013,Athis-Mons,16 000,0,c,,?,48.7092979,2.38479
727303877,14 500,2014,Paris,21 754,0,c,,?,48.856614,2.3522219
727316433,14 800,2014,Paris,15 269,0,c,,?,48.856614,2.3522219
727307083,14 800,2014,Orly,14 697,0,c,,?,48.745193,2.401373
727311059,14 200,2014,Paris,28 670,0,c,,?,48.856614,2.3522219
727301170,14 800,2014,Chessy,17 370,0,c,,?,48.87846159999999,2.7657959
727297653,14 500,2014,Malakoff,20 026,0,c,,?,48.817275,2.2977599
727300632,13 600,2013,Nanterre,26 412,0,c,,?,48.892423,2.215331
727301743,14 800,2014,Montigny-le-Bretonneux,15 069,0,c,,?,48.7738734,2.0360157
727302947,14 800,2014,Roissy-en-France,19 247,0,c,,?,49.00363,2.516978
727304515,14 700,2014,Orly,11 688,0,c,,?,48.745193,2.401373
727324767,14 500,2014,Pontoise,20 800,0,c,,?,49.050966,2.100645
727291182,14 200,2014,Roissy-en-France,28 282,0,c,,?,49.00363,2.516978
727286997,14 000,2013,Montigny-le-Bretonneux,12 561,0,c,,?,48.7738734,2.0360157
727284349,14 800,2014,Le Blanc-Mesnil,19 211,0,c,,?,48.941345,2.46436
727283474,14 400,2014,Le Blanc-Mesnil,29 060,0,c,,?,48.941345,2.46436
727309324,14 800,2014,Pontoise,15 892,0,c,,?,49.050966,2.100645
727282840,13 900,2013,Orly,23 398,0,c,,?,48.745193,2.401373
727303193,14 800,2014,Paris,14 571,0,c,,?,48.856614,2.3522219
727311111,14 800,2014,Montigny-le-Bretonneux,15 607,0,c,,?,48.7738734,2.0360157
727305710,14 800,2014,Orly,19 172,0,c,,?,48.745193,2.401373
727284457,14 800,2014,Roissy-en-France,16 521,0,c,,?,49.00363,2.516978
727304386,14 500,2014,Clichy,24 018,0,c,,?,48.904526,2.304768
727283901,13 900,2013,Colombes,23 289,0,c,,?,48.9220615,2.2533313
727311923,14 800,2014,Paris,14 000,0,c,,?,48.856614,2.3522219
702652723,17 990,2014,Saint-Rémy-lès-Chevreuse,0,0,p,,?,48.7025751,2.0696133
726538908,14 000,2013,Levallois-Perret,16 500,0,p,,?,48.89321700000001,2.287864
726522396,15 500,2014,Versailles,0,0,p,,?,48.801408,2.130122
726412204,18 900,2014,Mantes-la-Jolie,0,0,p,,?,48.989323,1.714958
726354501,20 300,2014,Guyancourt,0,0,p,,?,48.762895,2.075323
723145508,17 900,2014,Saclay,0,0,p,,?,48.73668,2.180034
726093734,17 300,2014,Auffreville-Brasseuil,0,0,p,,?,48.954607,1.710307
725664067,16 300,2013,Brétigny-sur-Orge,20 500,0,p,,?,48.611486,2.30604
724791268,15 790,2014,Bois-d'Arcy,0,0,p,,?,48.80598,2.022188
724563243,18 400,2014,Conflans-Sainte-Honorine,0,0,p,,?,49.000275,2.09178
724360606,15 300,2014,Limay,0,0,p,,?,48.992181,1.735384
724063182,18 800,2014,Ballancourt-sur-Essonne,0,0,p,,?,48.524552,2.388169
723658089,18 500,2014,Pontoise,0,0,p,,?,49.050966,2.100645
723480375,17 600,2014,Neauphle-le-Vieux,0,0,p,,?,48.81474499999999,1.863168
722074122,19 290,2014,Paris,0,0,p,,?,48.856614,2.3522219
721875465,19 000,2014,Savigny-sur-Orge,0,0,p,,?,48.6851259,2.349282
721736797,18 900,2014,Villeneuve-Saint-Georges,0,0,p,,?,48.7305769,2.447488
721356492,18 400,2014,Breuillet,0,0,p,,?,48.566131,2.17112
720907121,18 500,2014,Thoiry,0,0,p,,?,48.865263,1.794903
719537045,16 200,2013,Guerville,0,0,p,,?,48.944263,1.735422
