,prix,annee,ville,km,tel,pro_part,argus,pos_argus,lat,long
1,15000,2014,Le Blanc-Mesnil,16596,0,c,0,?,0,0
2,14500,2014,Malakoff,20026,0,c,0,?,0,0
3,14500,2014,Paris,21754,0,c,0,?,0,0
4,14800,2014,Roissy-en-France,18021,0,c,0,?,0,0
5,14500,2014,Roissy-en-France,24326,0,c,0,?,0,0
6,14800,2014,Chessy,17370,0,c,0,?,0,0
7,14400,2014,Le Blanc-Mesnil,29060,0,c,0,?,0,0
8,14200,2014,Montigny-le-Bretonneux,29246,0,c,0,?,0,0
9,13900,2013,Colombes,23289,0,c,0,?,0,0
10,14800,2014,Montigny-le-Bretonneux,15069,0,c,0,?,0,0
11,14800,2014,Ivry-sur-Seine,19707,0,c,0,?,0,0
12,14800,2014,Paris,14571,0,c,0,?,0,0
13,14800,2014,Montigny-le-Bretonneux,15607,0,c,0,?,0,0
14,13900,2013,Orly,23398,0,c,0,?,0,0
15,14800,2014,Le Blanc-Mesnil,19211,0,c,0,?,0,0
16,14700,2014,Orly,11688,0,c,0,?,0,0
17,14800,2014,Orly,16351,0,c,0,?,0,0
18,14000,2013,Montigny-le-Bretonneux,12561,0,c,0,?,0,0
19,14800,2014,Roissy-en-France,16521,0,c,0,?,0,0
20,13600,2013,Bobigny,29000,0,c,0,?,0,0
21,14800,2014,Paris,14000,0,c,0,?,0,0
22,14800,2014,Roissy-en-France,19247,0,c,0,?,0,0
23,19990,,Paris,0,0,c,0,?,0,0
24,14500,2014,Roissy-en-France,24147,0,c,0,?,0,0
25,14200,2014,Paris,28670,0,c,0,?,0,0
26,14800,2014,Chessy,17516,0,c,0,?,0,0
27,13600,2013,Nanterre,26412,0,c,0,?,0,0
28,14500,2014,Clichy,24018,0,c,0,?,0,0
29,14500,2014,Pontoise,20800,0,c,0,?,0,0
30,14800,2014,Montigny-le-Bretonneux,18108,0,c,0,?,0,0
31,14200,2014,Roissy-en-France,28282,0,c,0,?,0,0
32,16590,2013,Vitry-sur-Seine,20992,0,c,0,?,0,0
33,18490,2014,Valenton,0,0,c,0,?,0,0
34,17990,2014,Saint-Rémy-lès-Chevreuse,0,0,p,0,?,0,0
