indx,City,Id,Kms,Lat,Lon,Model,PCode,Phone,Price,User,Year,Argus,cCher
0,Saint-Paul-lès-Dax,0,5,43.724934,-1.051409,Renault captur dci 90 intens + options 2014 5 km,40990,[],18990,Pro,2014,17700.0,True
1,Tresses,1,10,44.847789,-0.46405,CAPTUR 1.5 dci intens neuf plusieurs coloris,33370,[],18690,Pro,2014,17700.0,True
2,Bidart,2,10,43.439236,-1.590062,RENAULT captur 1.5 dci 90cv intense neuve,64210,[],17900,Pro,2014,18300.0,False
3,Bergerac,3,19993,44.853806,0.483392,RENAULT CAPTUR dCi 90 Energy Business,24100,[],16795,Pro,2014,16100.0,True
4,Bergerac,4,21048,44.853806,0.483392,Renault Captur dCi 90 Intens EDC,24100,0553636565,16995,Pro,2013,17500.0,False
5,Mérignac,5,11000,44.8448769,-0.656358,Renault Captur dCi 90 Intens GARANTIE,33700,0557215831,20490,Pro,2013,17700.0,True
6,Bergerac,7,17084,44.853806,0.483392,Renault Captur dCi 90 Energy S&S eco2 Intens,24100,0553636565,17595,Pro,2014,17700.0,False
7,Mérignac,8,24353,44.8448769,-0.656358,Renault Captur dCi 90 Energy Business S&S eco²,33700,0825809109,14500,Pro,2014,16100.0,False
8,Mérignac,10,18013,44.8448769,-0.656358,Renault Captur dCi 90 Energy Business S&S eco²,33700,0698288701,15000,Pro,2014,16100.0,False
9,Mérignac,11,19520,44.8448769,-0.656358,Renault Captur dCi 90 Energy Business S&S eco²,33700,0825809109,14800,Pro,2014,16100.0,False
10,Uzein,12,18144,43.399259,-0.432582,Renault Captur dCi 90 Energy Business S&S eco²,64230,0559331638,15000,Pro,2014,16100.0,False
11,Mérignac,14,22000,44.8448769,-0.656358,Renault Captur dCi 90 Energy Business S&S eco²,33700,0608559898,15200,Pro,2014,16100.0,False
12,Lormont,15,10,44.880163,-0.523108,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,33310,0582848237,19390,Pro,2014,17700.0,True
13,Lormont,17,10,44.880163,-0.523108,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,33310,0582848237,19390,Pro,2014,17700.0,True
14,Lormont,18,10,44.880163,-0.523108,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,33310,0582848237,19390,Pro,2014,17700.0,True
15,Lormont,19,10,44.880163,-0.523108,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,33310,2539912299,19390,Pro,2014,17700.0,True
16,Urrugne,20,12000,43.362402,-1.700075,Captur TCe 90 Energy Zen,64122,[],13700,Par,2013,14200.0,False
