indx,City,Id,Kms,Lat,Lon,Model,PCode,Phone,Price,User,Year,Argus,cCher
0,Isles-lès-Villenoy,1,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19840,Pro,2014,17700.0,True
1,Massy,2,14697,48.730756,2.27137,Renault captur dci / gtie 1 an voire 2 ans P&M,91300,[],15200,Pro,2013,18300.0,False
2,Massy,3,13799,48.730756,2.27137,RENAULT Captur dci / gtie 1 an voire 2 ans p&m,91300,[],14500,Pro,2013,18300.0,False
3,Isles-lès-Villenoy,4,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
4,Thiais,6,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
5,Thiais,7,10,48.760344,2.387405,Renault Captur Intens TCe 90,94320,0175834788,17560,Pro,2014,15500.0,True
6,Athis-Mons,8,16000,48.7092979,2.38479,Renault captur,91200,[],11990,Pro,2013,16100.0,False
7,Paris,9,21754,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75010,0825809109,14500,Pro,2014,16100.0,False
8,Paris,10,15269,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0825809109,14800,Pro,2014,16100.0,False
9,Orly,11,14697,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
10,Paris,12,28670,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0825809109,14200,Pro,2014,16100.0,False
11,Chessy,13,17370,48.8784616,2.7657959,Renault Captur dCi 90 Energy Business S&S eco²,77700,0825809109,14800,Pro,2014,16100.0,False
12,Malakoff,14,20026,48.817275,2.2977599,Renault Captur dCi 90 Energy Business S&S eco²,92240,0781679569,14500,Pro,2014,16100.0,False
13,Nanterre,15,26412,48.892423,2.215331,Renault Captur dCi 90 Energy Business S&S eco²,92000,0825809109,13600,Pro,2013,16100.0,False
14,Montigny-le-Bretonneux,16,15069,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14800,Pro,2014,16100.0,False
15,Roissy-en-France,17,19247,49.00363,2.516978,Renault Captur dCi 90 Energy Business S&S eco²,95700,0825809109,14800,Pro,2014,16100.0,False
16,Orly,18,11688,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14700,Pro,2014,16100.0,False
17,Pontoise,19,20800,49.050966,2.100645,Renault Captur dCi 90 Energy Business S&S eco²,95000,0825809109,14500,Pro,2014,16100.0,False
18,Roissy-en-France,20,28282,49.00363,2.516978,Renault Captur dCi 90 Energy Business S&S eco²,95700,0825809109,14200,Pro,2014,16100.0,False
19,Montigny-le-Bretonneux,21,12561,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14000,Pro,2013,16100.0,False
20,Le Blanc-Mesnil,22,19211,48.941345,2.46436,Renault Captur dCi 90 Energy Business S&S eco²,93150,0825809109,14800,Pro,2014,16100.0,False
21,Le Blanc-Mesnil,23,29060,48.941345,2.46436,Renault Captur dCi 90 Energy Business S&S eco²,93150,0155811021,14400,Pro,2014,16100.0,False
22,Pontoise,24,15892,49.050966,2.100645,Renault Captur dCi 90 Energy Business S&S eco²,95000,0825809109,14800,Pro,2014,16100.0,False
23,Orly,25,23398,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,13900,Pro,2013,16100.0,False
24,Paris,26,14571,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75010,0825809109,14800,Pro,2014,16100.0,False
25,Montigny-le-Bretonneux,27,15607,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14800,Pro,2014,16100.0,False
26,Orly,29,19172,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
27,Roissy-en-France,30,16521,49.00363,2.516978,Renault Captur dCi 90 Energy Business S&S eco²,95700,0825809109,14800,Pro,2014,16100.0,False
28,Clichy,31,24018,48.904526,2.304768,Renault Captur dCi 90 Energy Business S&S eco²,92110,0825809109,14500,Pro,2014,16100.0,False
29,Colombes,32,23289,48.9220615,2.2533313,Renault Captur dCi 90 Energy Business S&S eco²,92700,0825809109,13900,Pro,2013,16100.0,False
30,Paris,33,14000,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75008,0825809109,14800,Pro,2014,16100.0,False
31,Montigny-le-Bretonneux,34,29246,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14200,Pro,2014,16100.0,False
32,Clichy,35,20966,48.904526,2.304768,Renault Captur dCi 90 Energy Business S&S eco²,92110,0825809109,14500,Pro,2014,16100.0,False
33,Thiais,36,10,48.760344,2.387405,Renault Captur Helly Hansen dCi 90,94320,0175834788,19900,Pro,2014,18300.0,True
34,Orly,37,16351,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
35,Orly,38,13461,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
36,Thiais,39,10,48.760344,2.387405,Renault Captur Zen dCi 90 EDC+ Stock Paris-Orly,94320,0175834788,18789,Pro,2014,16000.0,True
37,Montigny-le-Bretonneux,40,18108,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14800,Pro,2014,16100.0,False
38,Le Blanc-Mesnil,41,16596,48.941345,2.46436,Renault Captur dCi 90 Energy Business S&S eco²,93150,0155811021,15000,Pro,2014,16100.0,False
39,Bobigny,42,29000,48.908612,2.439712,Renault Captur dCi 90 Energy Business S&S eco²,93000,0825809109,13600,Pro,2013,16100.0,False
40,Pontoise,43,12409,49.050966,2.100645,Renault Captur dCi 90 Energy Business S&S eco²,95000,0825809109,14800,Pro,2014,16100.0,False
41,Ivry-sur-Seine,44,19707,48.813055,2.38822,Renault Captur dCi 90 Energy Business S&S eco²,94200,0825809109,14800,Pro,2014,16100.0,False
42,Orly,45,12870,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
43,Thiais,46,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
44,Saint-Rémy-lès-Chevreuse,47,8900,48.7025751,2.0696133,RENAULT CAPTUR Intens Energy dCi 90 S&S camera,78470,[],17990,Par,2014,17700.0,True
45,Valenton,48,10,48.749736,2.459965,Renault Captur DCI 90 ENERGY INTENS S&S,94460,0176471772,18990,Pro,2014,17700.0,True
46,Paris,49,1,48.856614,2.3522219,Renault Captur DCI90 ENER. S/S SL H.H 0KM,75002,0476523234,19990,Pro,-1,16100.0,True
47,Levallois-Perret,50,16500,48.893217,2.287864,Renault Captur,92300,[],14000,Par,2013,16100.0,False
48,Versailles,51,4000,48.801408,2.130122,Captur Zen avec GPS,78000,[],15500,Par,2014,14200.0,True
49,Vitry-sur-Seine,52,20992,48.792001,2.39851,Renault Captur TCe 120 Intens EDC,94400,0811708090,16590,Pro,2013,17800.0,False
50,Mantes-la-Jolie,53,5000,48.989323,1.714958,Renault Captur 1.5 DCI,78200,[],18900,Par,2014,18300.0,True
51,Dourdan,54,10,48.529171,2.0152549,RENAULT CAPTUR INTENS EDC 120 + caméra de recul,91410,[],20500,Pro,2014,17800.0,True
52,Dourdan,55,4058,48.529171,2.0152549,RENAULT CAPTUR INTENS DCI 90 avec caméra de recul,91410,[],18990,Pro,2014,17700.0,True
53,Guyancourt,56,1800,48.762895,2.075323,Renault CAPTUR Intens dCi 90 cv Orange/Ivoire 2014,78280,[],20300,Par,2014,17700.0,True
54,Maurepas,57,10,48.7623589,1.945326,Renault captur dci 90 intens camera stock,78310,[],18490,Pro,2014,17700.0,True
