indx,City,Id,Kms,Lat,Lon,Model,PCode,Phone,Price,User,Year,Argus,cCher
0,Cagnes-sur-Mer,0,10,43.663739,7.14882,Renault Captur TCE 90 ENERGY S&S ECO2 ZEN,06800,0422170093,16990,Pro,2014,14200.0,True
1,Gap,1,3714,44.559638,6.079758,Renault Captur dCi 90 Energy S&S eco2 Intens,05000,0628436660,19690,Pro,2014,17700.0,True
2,Aix-en-Provence,2,22900,43.529742,5.447427,Renault captur dci 90 business gps,13090,[],15990,Pro,2013,17600.0,False
3,Fréjus,3,10000,43.433152,6.737034,RENAULT CAPTUR DCI 90 ENERGY ECO2 INTENS S-S 4x2,83600,[],18000,Par,2014,17700.0,True
4,Nice,4,13400,43.7101728,7.2619532,Captur intens tce 90 - echange possible,06300,[],14990,Par,2013,15500.0,False
5,Cannes,5,18182,43.552847,7.017369,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,06400,0422170107,16600,Pro,2014,16000.0,True
6,Le Pontet,6,32020,43.9591489,4.863831,Renault captur 1.5 dci 90 energy s&s business eco2,84130,0625982919,14990,Pro,2013,16100.0,False
7,Aix-en-Provence,7,6002,43.529742,5.447427,Renault Captur dCi 90 Energy Business S&S eco²,13100,0825809109,14800,Pro,2014,16100.0,False
8,Vitrolles,8,10000,43.458598,5.249703,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,13127,0486802083,19300,Pro,2014,17700.0,True
9,Fréjus,9,15500,43.433152,6.737034,CAPTUR TCE INTENS 2013 - 15500 Kms,83600,[],17100,Par,2013,15500.0,True
10,Hyères,11,18352,43.120541,6.128639,Renault Captur dCi 90 Energy Business S&S eco²,83400,0825809109,14800,Pro,2014,16100.0,False
11,Nice,13,11888,43.7101728,7.2619532,Renault Captur dCi 90 Energy Business S&S eco²,06000,0825809109,14800,Pro,2014,16100.0,False
12,Marseille,14,13055,43.296482,5.36978,Renault Captur dCi 90 Energy Business S&S eco²,13001,0825809109,14800,Pro,2014,16100.0,False
13,Marignane,15,17078,43.4212739,5.218332,Renault Captur dCi 90 Energy Business S&S eco²,13700,0825809109,14800,Pro,2014,16100.0,False
14,Hyères,16,16046,43.120541,6.128639,Renault Captur dCi 90 Energy Business S&S eco²,83400,0825809109,14800,Pro,2014,16100.0,False
15,Nice,17,10773,43.7101728,7.2619532,Renault Captur dCi 90 Energy Business S&S eco²,06000,0825809109,14800,Pro,2014,16100.0,False
