,Model,Energy,Value
0,0.9 TCE 90 ENERGY ARIZONA ECO2,Essence,16100
1,0.9 TCE 90 ENERGY S&S INTENS ECO2,Essence,15500
2,0.9 TCE 90 ENERGY S&S LIFE ECO2,Essence,12700
3,0.9 TCE 90 ENERGY S&S ZEN ECO2,Essence,14200
4,1.2 TCE 120 ARIZONA EDC,Essence,17200
5,1.2 TCE 120 INTENS EDC,Essence,17800
6,1.2 TCE 120 ZEN EDC,Essence,16000
7,1.5 DCI 90 ARIZONA EDC ECO2,Diesel,18300
8,1.5 DCI 90 BUSINESS EDC,Diesel,17600
9,1.5 DCI 90 ENERGY ARIZONA ECO2,Diesel,17100
10,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,Diesel,16100
11,1.5 DCI 90 ENERGY S&S INTENS ECO2,Diesel,17700
12,1.5 DCI 90 ENERGY S&S LIFE ECO2,Diesel,14600
13,1.5 DCI 90 ENERGY S&S ZEN ECO2,Diesel,16000
14,1.5 DCI 90 INTENS EDC,Diesel,17500
15,1.5 DCI 90 ZEN EDC,Diesel,16200
