,Ville,CodeZIP,Latitude,Longitude,Type,Tel,Modele,Annee,Prix,Km,Argus
0,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,intens,2014,18500.0,14351.0,Sup_Argus
1,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,zen,2014,16991.0,5496.0,Sup_Argus
2,Latresne,33360,44.784013,-0.4785495,professionnel,,intens,2014,16990.0,19000.0,Sup_Argus
3,Bidart,64210,43.4248485,-1.5693045,professionnel,,intens,2014,17900.0,10.0,Sup_Argus
4,Villenave-d'Ornon,33140,44.7649304,-0.554149,professionnel,0531081640,zen,2014,17990.0,7535.0,Sup_Argus
5,Trélissac,24750,45.2029795,0.7778598,professionnel,0634905428,intens,2014,19800.0,6703.0,Sup_Argus
6,La Teste-de-Buch,33260,44.5628136,-1.1929114,professionnel,0557525270,intens,2014,17490.0,17897.0,Sup_Argus
7,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,intens,2014,18500.0,16157.0,Sup_Argus
8,Pau,64000,43.3192848,-0.3465971,professionnel,0547200024,business,2013,15500.0,24896.0,Inf_Argus
9,Boé,47550,44.1749628,0.6441101,professionnel,0553684931,intens,2014,19490.0,10.0,Sup_Argus
10,Mugron,40250,43.7310586,-0.7342734,professionnel,,zen,2013,15900.0,11000.0,Sup_Argus
11,Mont-de-Marsan,40000,43.8948911,-0.4974359,professionnel,,intens,2014,18990.0,20.0,Sup_Argus
12,Mérignac,33700,44.8391346,-0.6867939,professionnel,0669093874,,2013,14500.0,63000.0,
13,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,intens,2014,18500.0,15640.0,Sup_Argus
14,Villeneuve-sur-Lot,47300,44.4160636,0.6962853,professionnel,0553401774,business,2013,16900.0,25230.0,Sup_Argus
15,Le Haillan,33185,44.8719033,-0.682049,professionnel,,intens,2014,18950.0,10.0,Sup_Argus
16,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,intens,2014,18500.0,14417.0,Sup_Argus
17,Oloron-Sainte-Marie,64400,43.1924098,-0.6204165,professionnel,0531081516,intens,2013,17500.0,16670.0,Sup_Argus
18,Bergerac,24100,44.8681363,0.5068824,professionnel,,business,2013,16795.0,19960.0,Inf_Argus
19,Bidart,64210,43.4248485,-1.5693045,professionnel,,zen,2013,14990.0,14000.0,Inf_Argus
20,Issigeac,24560,44.755217,0.6204165,professionnel,,intens,2013,19700.0,7300.0,Sup_Argus
21,Bayonne,64100,43.5031621,-1.4724751,professionnel,,intens,2014,19520.0,61.0,Sup_Argus
22,Dax,40100,43.7045277,-1.0634024,professionnel,0524449901,zen,2014,16990.0,6999.0,Sup_Argus
23,Mont-de-Marsan,40000,43.8948911,-0.4974359,professionnel,0524449118,zen,2014,16890.0,12377.0,Sup_Argus
24,Lormont,33310,44.8727485,-0.5210565,professionnel,2703119376,intens,2014,19390.0,10.0,Sup_Argus
25,Bayonne,64100,43.5031621,-1.4724751,professionnel,,intens,2014,19290.0,23.0,Sup_Argus
26,Langon,33210,44.5310129,-0.2807868,professionnel,0556634469,business,2014,16590.0,19070.0,Inf_Argus
