,Ville,CodeZIP,Latitude,Longitude,Type,Tel,Modele,Annee,Prix,Km,Argus
0,Montrouge,92120,48.8140285,2.3157278,professionnel,0142531111,business,2013,15890.0,19420.0,Inf_Argus
1,Montigny-le-Bretonneux,78180,48.7766463,2.0306592,professionnel,0825809109,business,2014,14800.0,13372.0,Inf_Argus
2,Orly,94310,48.7468342,2.4054748,professionnel,0825809109,business,2014,14800.0,12032.0,Inf_Argus
3,Coulommiers,77120,48.7778645,3.1064903,professionnel,,intens,2013,16300.0,24500.0,Sup_Argus
4,Thiais,94320,48.7597821,2.3869428,professionnel,0141734040,intens,2014,19372.0,10.0,Sup_Argus
5,Fontenay-sous-Bois,94120,48.8485075,2.4732309,professionnel,0148763773,business,2014,16890.0,19092.0,Sup_Argus
6,Créteil,94000,48.7884823,2.4567614,professionnel,0811708090,zen,2013,14980.0,25295.0,Inf_Argus
7,Le Port-Marly,78560,48.8834355,2.1082251,professionnel,0175951008,intens,2014,17490.0,10.0,Sup_Argus
8,Paris,75012,48.8293647,2.4265406,professionnel,0144740871,business,2013,16490.0,16436.0,Inf_Argus
9,Les Ulis,91940,48.6741256,2.1455482,professionnel,0160926972,intens,2014,18290.0,16349.0,Sup_Argus
10,Montrouge,92120,48.8140285,2.3157278,professionnel,0142531111,business,2014,17880.0,18932.0,Sup_Argus
11,Noisiel,77186,48.404676,2.70162,professionnel,0160059293,life,2014,17900.0,1519.0,Sup_Argus
12,Le Blanc-Mesnil,93150,48.9392662,2.4698535,professionnel,0155811021,business,2014,15200.0,14561.0,Inf_Argus
13,Montigny-le-Bretonneux,78180,48.7766463,2.0306592,professionnel,0825809109,business,2014,14800.0,19891.0,Inf_Argus
14,Melun,77000,48.5175192,2.684649,professionnel,0615872883,intens,2014,15980.0,6234.0,Sup_Argus
15,Les Pavillons-sous-Bois,93320,48.9057747,2.5036412,professionnel,0667277157,intens,2014,19990.0,10.0,Sup_Argus
16,Noisiel,77186,48.404676,2.70162,professionnel,0160059293,zen,Diesel,18900.0,0.0,Sup_Argus
17,Le Perreux-sur-Marne,94170,48.840305,2.5035059,professionnel,0143240835,life,2014,17990.0,100.0,Sup_Argus
18,Orgeval,78630,48.9138069,1.9566538,professionnel,0139754280,intens,2014,17480.0,21780.0,Sup_Argus
19,Montigny-le-Bretonneux,78180,48.7766463,2.0306592,professionnel,0825809109,business,2014,14200.0,28927.0,Inf_Argus
20,Thiais,94320,48.7597821,2.3869428,professionnel,0175834788,intens,2014,18264.0,10.0,Sup_Argus
21,Les Ulis,91940,48.6741256,2.1455482,professionnel,0169754933,business,2013,14900.0,34608.0,Inf_Argus
22,Paris,75008,48.8718722,2.3176432,professionnel,0178455073,zen,2014,17790.0,8360.0,Sup_Argus
23,Brie-Comte-Robert,77170,48.6996559,2.6118682,professionnel,0160625056,zen,2013,14390.0,6105.0,Inf_Argus
24,Boulogne-Billancourt,92100,48.833209,2.2359802,professionnel,0174037256,intens,2014,18390.0,5396.0,Sup_Argus
25,Isles-lès-Villenoy,77450,48.921454,2.8083725,professionnel,0184141900,intens,2014,19770.0,10.0,Sup_Argus
26,Noisiel,77186,48.404676,2.70162,professionnel,0160059293,life,2013,14900.0,14958.0,Sup_Argus
27,Maurepas,78310,48.7584648,1.9182113,professionnel,,intens,2014,18490.0,10.0,Sup_Argus
28,Isles-lès-Villenoy,77450,48.921454,2.8083725,professionnel,0184141900,intens,2014,17240.0,1000.0,Sup_Argus
29,Nanterre,92000,48.8941822,2.2071125,professionnel,0156837400,zen,2014,17190.0,4896.0,Sup_Argus
30,Le Perreux-sur-Marne,94170,48.840305,2.5035059,professionnel,0143240835,life,2014,17990.0,100.0,Sup_Argus
31,Brie-Comte-Robert,77170,48.6996559,2.6118682,professionnel,0160625056,intens,2014,20490.0,4500.0,Sup_Argus
32,Saclas,91690,48.3694118,2.1171631,professionnel,0681847577,intens,2014,18990.0,10.0,Sup_Argus
33,Paris,75012,48.8293647,2.4265406,professionnel,0825809109,business,2014,14800.0,14522.0,Inf_Argus
34,Montrouge,92120,48.8140285,2.3157278,professionnel,0146128847,zen,2014,17290.0,8634.0,Sup_Argus
35,Isles-lès-Villenoy,77450,48.921454,2.8083725,professionnel,0184141900,intens,2014,19840.0,10.0,Sup_Argus
36,Paris,75012,48.8293647,2.4265406,professionnel,0144740871,intens,2014,16500.0,5576.0,Sup_Argus
37,Montrouge,92120,48.8140285,2.3157278,professionnel,0142531111,business,2014,16880.0,9508.0,Sup_Argus
38,Orly,94310,48.7468342,2.4054748,professionnel,0825809109,business,2014,14800.0,15546.0,Inf_Argus
39,Chatou,78400,48.8977009,2.1541059,professionnel,0130157765,zen,2014,17300.0,10.0,Sup_Argus
40,Villemomble,93250,48.8855375,2.5075007,professionnel,0148941616,intens,2013,17900.0,15.0,Sup_Argus
41,Noisiel,77186,48.404676,2.70162,professionnel,0160059293,zen,2014,16900.0,18718.0,Sup_Argus
42,Roissy-en-France,95700,49.0041218,2.5038375,professionnel,0825809109,business,2014,14800.0,15758.0,Inf_Argus
43,Versailles,78000,48.8051741,2.1219587,professionnel,0175448151,zen,2014,16990.0,3457.0,Sup_Argus
44,Vitry-sur-Seine,94400,48.7898935,2.3894764,professionnel,0811708090,intens,2013,18490.0,7933.0,Sup_Argus
45,Paris,75116,48.8585799,2.2847017,professionnel,0140709104,life,2014,14800.0,10.0,Sup_Argus
46,Roissy-en-France,95700,49.0041218,2.5038375,professionnel,0825809109,business,2014,14800.0,9286.0,Inf_Argus
47,Villebon-sur-Yvette,91140,48.6875788,2.2301132,professionnel,0169340404,business,2013,14880.0,29177.0,Inf_Argus
48,Roissy-en-France,95700,49.0041218,2.5038375,professionnel,0825809109,business,2014,14800.0,16358.0,Inf_Argus
49,Isles-lès-Villenoy,77450,48.921454,2.8083725,professionnel,0184141900,intens,2014,19640.0,10.0,Sup_Argus
50,Trappes,78190,48.7772276,1.9973063,professionnel,0161123085,zen,2013,13990.0,35243.0,Inf_Argus
51,Clichy,92110,48.9048418,2.306274,professionnel,0825809109,business,2014,14500.0,20811.0,Inf_Argus
52,Paris,75006,48.8488576,2.3354223,professionnel,0146348425,zen,2013,17900.0,3365.0,Sup_Argus
53,Maurepas,78310,48.7584648,1.9182113,professionnel,,intens,2014,18490.0,10.0,Sup_Argus
54,Montigny-le-Bretonneux,78180,48.7766463,2.0306592,professionnel,0825809109,business,2013,14000.0,11301.0,Inf_Argus
55,Isles-lès-Villenoy,77450,48.921454,2.8083725,professionnel,0184141900,zen,2014,16970.0,7000.0,Sup_Argus
56,Orly,94310,48.7468342,2.4054748,professionnel,0825809109,business,2013,13900.0,22225.0,Inf_Argus
57,Trappes,78190,48.7772276,1.9973063,professionnel,0161123085,zen,2013,13990.0,37929.0,Inf_Argus
58,Pantin,93500,48.8977492,2.4070294,professionnel,0174730257,business,2013,16990.0,15898.0,Sup_Argus
59,Montrouge,92120,48.8140285,2.3157278,professionnel,0142531111,business,2013,15380.0,26145.0,Inf_Argus
60,Noisiel,77186,48.404676,2.70162,professionnel,0160059293,intens,Essence,18490.0,0.0,Sup_Argus
61,Montrouge,92120,48.8140285,2.3157278,professionnel,0142531111,business,2013,15850.0,20272.0,Inf_Argus
62,Mareil-Marly,78750,48.8790125,2.0743316,professionnel,0628537072,intens,2014,19990.0,10.0,Sup_Argus
63,Dourdan,91410,48.4820771,1.9601458,professionnel,,intens,2014,18990.0,4058.0,Sup_Argus
64,Chessy,77700,48.8559724,2.8075714,professionnel,0825809109,business,2014,14800.0,16567.0,Inf_Argus
65,Bobigny,93000,48.9100302,2.422169,professionnel,0825809109,business,2013,13600.0,26000.0,Inf_Argus
66,Brie-Comte-Robert,77170,48.6996559,2.6118682,professionnel,0160625056,zen,2014,16890.0,10.0,Sup_Argus
67,Thiais,94320,48.7597821,2.3869428,professionnel,0175834788,intens,2014,20220.0,10.0,Sup_Argus
68,Boissise-le-Roi,77310,48.52592,2.5345052,professionnel,0160657097,intens,2014,19990.0,221.0,Sup_Argus
69,Orgeval,78630,48.9138069,1.9566538,professionnel,0139754280,business,2013,16890.0,21050.0,Sup_Argus
70,Conflans-Sainte-Honorine,78700,48.9969698,2.1026339,professionnel,0139192136,intens,2013,16890.0,34808.0,Sup_Argus
71,Orly,94310,48.7468342,2.4054748,professionnel,0825809109,business,2014,14800.0,11687.0,Inf_Argus
72,Fresnes,94260,48.7584721,2.3279962,professionnel,0175448164,intens,2014,17550.0,7.0,Sup_Argus
73,Montrouge,92120,48.8140285,2.3157278,professionnel,0142531111,business,2014,15670.0,22119.0,Inf_Argus
74,Thiais,94320,48.7597821,2.3869428,professionnel,0175834788,intens,2014,19182.0,10.0,Sup_Argus
75,Saint-Jean-les-Deux-Jumeaux,77660,48.9461752,3.0276567,professionnel,,business,2013,16980.0,24200.0,Sup_Argus
76,Le Port-Marly,78560,48.8834355,2.1082251,professionnel,0175951008,intens,2014,17490.0,1.0,Sup_Argus
