"ID","BRAND","MODEL","VERSION","YEAR","MILEAGE","PRICE","PHONE","TYPE","CASCO","LATITUDE","LONGITUDE"
"727713053","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,11000,18290,"0682848237","professionnel",16000,44.880163,-0.523108
"703941723","renault","captur","NA",2014,5,18990,"0658748851","professionnel","NA",43.724934,-1.051409
"672330589","renault","captur","1.5 DCI 90 INTENS EDC",2014,10,18690,"0655945877","professionnel",17500,44.847789,-0.4640499999999999
"703838141","renault","captur","1.5 DCI 90 ZEN EDC",2014,10,17900,"0612212812","professionnel",16200,43.439236,-1.590062
"727719509","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,17400,17490,"NA","professionnel",16000,44.8448769,-0.656358
"701934240","renault","captur","1.2 TCE 120 ZEN EDC",2014,19993,16795,"NA","professionnel",16000,44.853806,0.483392
"727713036","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19390,"NA","professionnel",16000,44.880163,-0.523108
"727711980","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19490,"NA","professionnel",16000,44.1749628,0.6441101
"727713274","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19390,"NA","professionnel",16000,44.880163,-0.523108
"727622345","renault","captur","1.2 TCE 120 ZEN EDC",2013,21048,16995,"NA","professionnel",16000,44.853806,0.483392
"727358409","renault","captur","1.2 TCE 120 ZEN EDC",2013,11000,20490,"NA","professionnel",16000,44.8448769,-0.656358
"727712746","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19390,"NA","professionnel",16000,44.880163,-0.523108
"727713348","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19390,"NA","professionnel",16000,44.880163,-0.523108
"727622331","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,17084,17595,"NA","professionnel",16000,44.853806,0.483392
"727711994","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19490,"NA","professionnel",16000,44.1749628,0.6441101
"727307360","renault","captur","1.5 DCI 90 ENERGY S&S BUSINESS ECO2",2014,24353,14500,"NA","professionnel",16100,44.8448769,-0.656358
"727314350","renault","captur","1.5 DCI 90 ENERGY S&S BUSINESS ECO2",2014,18013,15000,"NA","professionnel",16100,44.8448769,-0.656358
"727310302","renault","captur","1.5 DCI 90 ENERGY S&S BUSINESS ECO2",2014,19520,14800,"NA","professionnel",16100,44.8448769,-0.656358
"727284362","renault","captur","1.5 DCI 90 ENERGY S&S BUSINESS ECO2",2014,18144,15000,"NA","professionnel",16100,43.399259,-0.432582
"727713256","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,18990,"NA","professionnel",16000,44.880163,-0.523108
"727283049","renault","captur","1.5 DCI 90 ENERGY S&S BUSINESS ECO2",2014,22000,15200,"NA","professionnel",16100,44.8448769,-0.656358
"717283701","renault","captur","1.5 DCI 90 INTENS EDC",2014,400,19490,"NA","professionnel",17500,45.027155,-0.798488
"726343642","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,20850,15990,"NA","professionnel",16000,43.759137,-0.574221
"726247550","renault","captur","1.2 TCE 120 ZEN EDC",2013,17000,13490,"NA","professionnel",16000,43.2951,-0.370797
"713124140","renault","captur","1.5 DCI 90 ZEN EDC",2013,14768,16990,"NA","professionnel",16200,44.8448769,-0.656358
"726235040","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,23739,18590,"NA","professionnel",16000,43.893485,-0.4997819999999999
"679339956","renault","captur","1.5 DCI 90 INTENS EDC",2014,10,19490,"NA","professionnel",17500,44.214076,0.484675
"705474714","renault","captur","1.5 DCI 90 ZEN EDC",2013,11000,15900,"NA","professionnel",16200,43.751052,-0.7487619999999999
"726235200","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,16157,18500,"NA","professionnel",16000,44.80583,-0.630386
"719879769","renault","captur","1.5 DCI 90 INTENS EDC",2014,13800,17400,"NA","professionnel",17500,45.145202,0.52778
"726080018","renault","captur","1.5 DCI 90 ENERGY S&S INTENS ECO2",2014,10,19990,"NA","professionnel",17700,44.8772685,-0.554149
"702657374","renault","captur","0.9 TCE 90 ENERGY S&S ZEN ECO2",2013,14000,14990,"NA","professionnel",14200,43.439236,-1.590062
"726235678","renault","captur","0.9 TCE 90 ENERGY S&S INTENS ECO2",2014,3140,17490,"NA","professionnel",15500,44.865164,-0.59944
"726198674","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2013,21778,17490,"NA","professionnel",16000,43.492949,-1.474841
"723311528","renault","captur","1.5 DCI 90 INTENS EDC",2014,19000,16990,"NA","professionnel",17500,44.7864205,-0.498324
"722532663","renault","captur","1.2 TCE 120 INTENS EDC",2014,9206,17490,"NA","professionnel",17800,44.885793,-0.6488149999999999
"725804986","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,3576,17795,"NA","professionnel",16000,44.853806,0.483392
"707752094","renault","captur","1.2 TCE 120 ZEN EDC",2014,10,17290,"NA","professionnel",16000,43.439236,-1.590062
"715727069","renault","captur","1.5 DCI 90 ENERGY S&S INTENS ECO2",2013,27000,16500,"NA","professionnel",17700,45.184029,0.7211149
"725420660","renault","captur","1.2 TCE 120 ZEN EDC",2013,29383,16500,"NA","professionnel",16000,44.80583,-0.630386
"725420633","renault","captur","1.2 TCE 120 ZEN EDC",2013,20750,16490,"NA","professionnel",16000,44.880163,-0.523108
"722812901","renault","captur","1.5 DCI 90 ENERGY ARIZONA ECO2",2013,63000,14500,"NA","professionnel",17100,44.8448769,-0.656358
"715266057","renault","captur","1.2 TCE 120 ZEN EDC",2013,21500,18290,"NA","professionnel",16000,44.3946602,-1.164218
"715256644","renault","captur","1.2 TCE 120 ZEN EDC",2014,8900,19490,"NA","professionnel",16000,44.3946602,-1.164218
"724846993","renault","captur","1.5 DCI 90 BUSINESS EDC",2014,13360,17200,"NA","professionnel",17600,45.01555399999999,-0.379659
"699306136","renault","captur","1.2 TCE 120 ZEN EDC",2014,18000,16590,"NA","professionnel",16000,43.368262,-0.6205520000000001
"725011730","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,10,19290,"NA","professionnel",16000,44.5628136,-1.1929114
"724921066","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,4633,18490,"NA","professionnel",16000,43.492949,-1.474841
"724947239","renault","captur","1.2 TCE 120 ZEN EDC",2014,19734,17595,"NA","professionnel",16000,44.853806,0.483392
"724948438","renault","captur","1.2 TCE 120 ZEN EDC",2014,17897,17490,"NA","professionnel",16000,44.5628136,-1.1929114
"724491960","renault","captur","1.2 TCE 120 ZEN EDC",2014,20116,16800,"NA","professionnel",16000,45.196131,0.77911
"716594949","renault","captur","1.5 DCI 90 ZEN EDC",2013,28830,15990,"NA","professionnel",16200,43.637844,-1.420939
"698243455","renault","captur","1.5 DCI 90 ZEN EDC",2014,10,18950,"NA","professionnel",16200,44.873167,-0.677914
"724524492","renault","captur","1.5 DCI 90 ENERGY S&S ZEN ECO2",2014,12377,16890,"NA","professionnel",16000,43.893485,-0.4997819999999999
