,Region,Version,Annee,Kilometrage,Prix,Cote Argus,Prix vs Cote,Telephone,Type vendeur,Latitude,Longitude,URL
0,ile_de_france,1.2 TCE 120 INTENS EDC Essence,2013,20992.0,16590.0,17591.0,Moins cher,0811708090 ,Professionnel,48.7898935,2.3894764,http://www.leboncoin.fr/voitures/726513370.htm?ca=12_s
0,ile_de_france,1.2 TCE 120 INTENS EDC Essence,2014,10.0,20500.0,18404.0,Plus cher,0681259520 / 0164597186 ,Professionnel,48.4820771,1.9601458,http://www.leboncoin.fr/voitures/714327465.htm?ca=12_s
0,ile_de_france,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014,4058.0,18990.0,16091.0,Plus cher,0681259520 / 0164597186 / 0630522879 ,Professionnel,48.4820771,1.9601458,http://www.leboncoin.fr/voitures/723253949.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,19247.0,14800.0,18633.0,Moins cher,0825809109 ,Professionnel,49.0041218,2.5038375,http://www.leboncoin.fr/voitures/726326203.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,26546.0,14200.0,18427.0,Moins cher,0825809109 ,Professionnel,48.8293647,2.4265406,http://www.leboncoin.fr/voitures/726325647.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,18108.0,14800.0,18598.0,Moins cher,0825809109 ,Professionnel,48.7766463,2.0306592,http://www.leboncoin.fr/voitures/726328381.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,14571.0,14800.0,18488.0,Moins cher,0825809109 ,Professionnel,48.8785618,2.3603689,http://www.leboncoin.fr/voitures/726327139.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,17516.0,14800.0,18579.0,Moins cher,0825809109 ,Professionnel,48.8559724,2.8075714,http://www.leboncoin.fr/voitures/726333677.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,16521.0,14800.0,18549.0,Moins cher,0825809109 ,Professionnel,49.0041218,2.5038375,http://www.leboncoin.fr/voitures/726327058.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2013,23289.0,13900.0,17485.0,Moins cher,0825809109 ,Professionnel,48.9237226,2.2431251,http://www.leboncoin.fr/voitures/726327648.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,29060.0,14400.0,18339.0,Moins cher,0155811021 / 0825809109 ,Professionnel,48.9392662,2.4698535,http://www.leboncoin.fr/voitures/726338505.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,28282.0,14200.0,18367.0,Moins cher,0825809109 ,Professionnel,49.0041218,2.5038375,http://www.leboncoin.fr/voitures/726326616.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,19211.0,14800.0,18632.0,Moins cher,0825809109 ,Professionnel,48.9392662,2.4698535,http://www.leboncoin.fr/voitures/726326954.htm?ca=12_s
0,ile_de_france,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014,10.0,18490.0,15966.0,Plus cher,0130516539 ,Professionnel,48.7584648,1.9182113,http://www.leboncoin.fr/voitures/713901775.htm?ca=12_s
0,ile_de_france,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014,10.0,17490.0,15966.0,Plus cher,0130516539 ,Professionnel,48.7584648,1.9182113,http://www.leboncoin.fr/voitures/697384102.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,21754.0,14500.0,18595.0,Moins cher,0825809109 ,Professionnel,48.8785618,2.3603689,http://www.leboncoin.fr/voitures/726326529.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,11688.0,14700.0,18399.0,Moins cher,0825809109 / 0652513785 ,Professionnel,48.7468342,2.4054748,http://www.leboncoin.fr/voitures/726326795.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,20026.0,14500.0,18656.0,Moins cher,0781679569 / 0825809109 ,Professionnel,48.8144751,2.2933337,http://www.leboncoin.fr/voitures/726310848.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,14000.0,14800.0,18470.0,Moins cher,0825809109 ,Professionnel,48.8718722,2.3176432,http://www.leboncoin.fr/voitures/726333459.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,24018.0,14500.0,18516.0,Moins cher,0825809109 ,Professionnel,48.9048418,2.306274,http://www.leboncoin.fr/voitures/726327376.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2013,29000.0,13600.0,17285.0,Moins cher,0825809109 ,Professionnel,48.9100302,2.422169,http://www.leboncoin.fr/voitures/726327608.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,17370.0,14800.0,18575.0,Moins cher,0825809109 ,Professionnel,48.8559724,2.8075714,http://www.leboncoin.fr/voitures/726345848.htm?ca=12_s
0,ile_de_france,0.9 TCE 90 ENERGY S&S INTENS ECO2,2013,7933.0,18490.0,15281.0,Plus cher,0811708090 ,Professionnel,48.7898935,2.3894764,http://www.leboncoin.fr/voitures/726460320.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,19707.0,14800.0,18647.0,Moins cher,0825809109 ,Professionnel,48.8099767,2.3911679,http://www.leboncoin.fr/voitures/726331367.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,15269.0,14800.0,18510.0,Moins cher,0825809109 ,Professionnel,48.8293647,2.4265406,http://www.leboncoin.fr/voitures/726325719.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,15892.0,14800.0,18529.0,Moins cher,0825809109 ,Professionnel,49.0331671,2.0547222,http://www.leboncoin.fr/voitures/726296724.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,16351.0,14800.0,18543.0,Moins cher,0825809109 / 0652513785 ,Professionnel,48.7468342,2.4054748,http://www.leboncoin.fr/voitures/726328185.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,24147.0,14500.0,18511.0,Moins cher,0825809109 ,Professionnel,49.0041218,2.5038375,http://www.leboncoin.fr/voitures/726327267.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2013,26412.0,13600.0,17376.0,Moins cher,0825809109 ,Professionnel,48.8941822,2.2071125,http://www.leboncoin.fr/voitures/726298734.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,14697.0,14800.0,18492.0,Moins cher,0825809109 / 0652513785 ,Professionnel,48.7468342,2.4054748,http://www.leboncoin.fr/voitures/726345798.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2013,23398.0,13900.0,17482.0,Moins cher,0825809109 ,Professionnel,48.7468342,2.4054748,http://www.leboncoin.fr/voitures/726301913.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,15069.0,14800.0,18504.0,Moins cher,0825809109 ,Professionnel,48.7766463,2.0306592,http://www.leboncoin.fr/voitures/726322573.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,12870.0,14800.0,18435.0,Moins cher,0825809109 / 0652513785 ,Professionnel,48.7468342,2.4054748,http://www.leboncoin.fr/voitures/726328992.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,20800.0,14500.0,18628.0,Moins cher,0825809109 ,Professionnel,49.0331671,2.0547222,http://www.leboncoin.fr/voitures/726326420.htm?ca=12_s
0,ile_de_france,1.5 DCI 90 BUSINESS EDC Diesel,2014,29246.0,14200.0,18333.0,Moins cher,0825809109 ,Professionnel,48.7766463,2.0306592,http://www.leboncoin.fr/voitures/726332929.htm?ca=12_s
